monthly_income,essential_expenses,discretionary_expenses,monthly_debt_payment,total_debt,total_assets,liquid_savings,emergency_fund_months,investment_assets,cash_percentage,fd_percentage,debt_percentage,mutual_fund_percentage,equity_percentage,gold_percentage,monthly_surplus,debt_to_income_ratio,debt_to_asset_ratio,goal_count,high_priority_goals,average_goal_horizon_months,average_goal_funding_gap,average_goal_probability,risk_category
113500.0,41543.79383560893,33342.34241511863,1901.493828505489,371715.8545176663,4560700.0,285400.0,6.56918196068797,4275300.0,6.257811300896793,10.196508105186568,0.3242552637436464,17.991726868450197,57.45641882889232,7.773279632830472,36712.36992076696,0.0167532495903567,0.0815041231647918,3,1,236.02419670001095,1473515.88308283,24.579322732123263,Aggressive
61500.0,46644.25885724867,16452.955032363276,20125.62868590652,2230447.385635726,5700000.0,36900.0,0.5526443335126262,5663100.0,0.6473684210526316,27.84221063139856,16.709940408524357,11.788940439887943,34.59893613639025,8.41260396274626,-21722.842575518454,0.3272459948927889,0.3913065588834607,4,4,302.69185788416473,4420620.014771088,89.3698969299542,Conservative
99000.0,36775.569741828,15674.449169770976,12706.919251300871,1116052.2275687694,403200.0,229100.0,4.629920698447743,174100.0,56.82043650793651,0.3328102446637564,2.10028278468277,7.818991133767267,30.02999409982755,2.8974852291221462,33843.06183710015,0.1283527197101098,2.7679866755177813,2,1,21.450806671807868,1143072.0805033762,66.43282277800425,Aggressive
89400.0,62595.65492185323,18436.56063764032,23512.12532879457,4579667.083472178,2153200.0,425100.0,4.936836122851998,1728100.0,19.742708526843767,8.78541138464333,2.7418292088329377,48.83659457589575,18.98834978006273,0.9051065237214948,-15144.34088828812,0.2629991647516171,2.126912076663653,3,3,230.7883777745949,1566264.9228368597,56.32797972250624,Aggressive
78500.0,51746.90177001595,20098.043430658727,8820.717033739147,1137637.9298601684,1765300.0,1233400.0,20.36401668680973,531900.0,69.86914405483488,13.333876242921184,3.120415627955247,8.179209430674904,3.240753065088421,2.256601578525365,-2165.662234413816,0.112365822085849,0.6444445305954616,4,0,198.3362518773072,4304006.016661065,49.05267370254733,Balanced
164300.0,111323.26046184191,46352.94008555666,70533.11257089568,19226776.88488436,392900.0,157300.0,0.8649683119528784,235600.0,40.03563247645711,20.107511743518856,4.973027281143221,18.528458947638917,11.078270084613322,5.277099466628566,-63909.31311829429,0.4292946595915745,48.93554819263008,1,0,151.6172843245019,913378.4298802828,48.4142454087109,Conservative
128300.0,66721.35811640437,7887.831909629095,2560.5940263546872,656452.2663543669,14912100.0,773800.0,11.168853879947624,14138300.0,5.189074644080981,29.22495324550306,25.183469785479467,10.928280981291216,25.093868214597936,4.380353129047339,51130.21594761184,0.019957864585773,0.0440214501213354,3,2,263.308069696696,3558635.858031438,33.537887711994586,Aggressive
45300.0,28871.250968465345,8543.594841154756,11673.151639832817,1474381.072263626,238300.0,106900.0,2.636615491237277,131400.0,44.85942089802769,19.344672091438827,14.814171040560634,9.322522151244163,4.158546401793226,7.500667416935444,-3787.997449452916,0.257685466662976,6.187079615038296,4,0,105.70608030462336,3036275.636578605,58.3637869737619,Conservative
90300.0,65716.16580669089,19292.85688706602,36498.60016102685,9436414.09122344,2146200.0,155900.0,1.5252199476662456,1990300.0,7.264001491007361,45.3801539826058,26.504011397642195,6.567567533837157,8.942514495227696,5.341751099679787,-31207.622854783756,0.4041926928131434,4.396800899833864,1,0,159.2002881686223,1453197.4253299355,4.559367013722515,Conservative
162600.0,100502.426785203,37669.33902391445,10825.670833278124,2159813.2424291437,1369100.0,862700.0,7.749166818213793,506400.0,63.01219779417136,13.042640646215965,6.665317936981248,6.954660922678952,2.9318508322565053,7.393331867695979,13602.563357604406,0.0665785414100745,1.5775423580667178,2,1,283.26807557073283,930072.8292342904,47.03569969373928,Aggressive
83600.0,29397.51647977176,13293.080816833952,19410.635253930905,518773.63058431353,227000.0,139600.0,2.8601779629283604,87400.0,61.4977973568282,11.367486997906152,5.170940500251913,3.45750724436974,13.722449681165813,4.783818219478183,21498.767449463383,0.2321846322240539,2.285346390239267,1,1,189.5046207458518,827955.5776734271,40.07402980426424,Aggressive
159100.0,52541.78112431525,16434.578247871992,34260.267357546014,11837234.090347111,2697900.0,530200.0,6.1081507783862286,2167700.0,19.652322176507653,24.56683342043584,10.132072195173764,17.39465873402169,23.54287023481607,4.711243239044983,55863.37327026675,0.2153379469361785,4.387573331238042,4,3,316.6492185067048,4929859.286818898,95.6668144158668,Aggressive
66200.0,29232.83577967306,9973.04249863874,29134.27386690228,9055119.346800445,1366000.0,233500.0,4.0005407397058,1132500.0,17.093704245973644,19.697298357049423,16.18352079985754,10.914486290466645,32.56426047189713,3.546729834755618,-2140.152145214073,0.4400947714033577,6.628930707760207,3,1,144.7332254902471,4733059.13440007,68.48143103199268,Conservative
22900.0,16478.61552252442,2064.8906224753136,285.9255312402179,48111.399972102816,354400.0,257000.0,15.329975283891724,97400.0,72.51693002257336,8.359243693673385,2.317232985292466,6.782700204193434,9.070252275724508,0.953640818542841,4070.568323760053,0.0124858310585247,0.1357545145939695,1,1,31.322711417584397,2842324.4925397,65.15156833288924,Aggressive
80600.0,27742.4090509416,12243.13053316773,25587.82167450981,6447626.379705354,1715400.0,147900.0,2.77328633287566,1567500.0,8.621895767750962,11.482542938696406,24.37748265653045,12.046875207434308,28.64771188360495,14.823491545982922,15026.638741380855,0.3174667701552086,3.7586722511981776,0,0,0.0,0.0,0.0,Balanced
94500.0,52326.21270028301,8147.434338006533,20530.827502987395,2879767.849808431,30280700.0,190400.0,2.613337015459123,30090300.0,0.6287833504509472,9.393947263980053,17.445398889126686,30.997590333475237,37.487015768616615,4.047264394350468,13495.52545872306,0.2172574338940465,0.0951024200169887,4,1,48.77358975948946,3169405.047823147,17.53847087640977,Balanced
27800.0,15763.991169990712,6764.095653205168,9535.138316769797,3269874.1226923866,972900.0,100500.0,3.9724686990749407,872400.0,10.329941412272587,42.57943355389285,2.5854657146848856,27.21973122457042,7.207947910586954,10.077480183992302,-4263.225139965674,0.3429905869341653,3.360956031136177,4,1,138.30519669824469,424997.71944549127,58.57913723039331,Balanced
126600.0,100092.38761871996,10132.901075756488,1130.5415457700185,324287.2093326883,730700.0,157000.0,1.5510319775954202,573700.0,21.48624606541672,15.47628643251898,21.589697663027444,6.978266138939065,24.12393138902492,10.345572311072864,15244.169759753551,0.008930028007662,0.4438034888910473,0,0,0.0,0.0,0.0,Conservative
93500.0,69628.75320046877,12849.129556369677,14603.278040590514,4916679.144743792,796500.0,119000.0,1.4127642210056657,677500.0,14.940364092906467,27.76890956141777,17.54328360014455,22.81904106194385,9.221693007505738,7.706708676081632,-3581.160797428951,0.1561847918779734,6.17285517230859,5,5,296.3396036597739,853861.1151305331,64.66835066166392,Balanced
50000.0,30574.319666366933,8475.023436758343,3677.755510878048,1275684.104988519,360900.0,304300.0,8.884133251060906,56600.0,84.31698531449155,7.241285170908533,0.9360052960208026,3.188413737222404,4.2712502704475,0.046060210909216,7272.901385996673,0.0735551102175609,3.5347301329690195,3,3,21.48473061562369,4188208.258687545,22.588144923916687,Balanced
37700.0,29815.347934216883,3512.013344119403,288.4183996026125,9850.61885459652,127200.0,30100.0,0.9998748882854812,97100.0,23.663522012578618,29.24043480935054,22.210717089228545,6.936602163687457,13.603350937230218,4.345372987924625,4084.220322061105,0.007650355427125,0.0774419721273311,2,2,34.60214880999449,3648366.606114179,21.775085245277705,Conservative
68900.0,32601.572858214764,7089.189117610201,15007.00163770099,4086441.760837647,1140900.0,73600.0,1.5459400072210523,1067300.0,6.451047418704532,12.197076368444208,18.029870353025355,32.203274835139,18.360645937524662,12.758085087162238,14202.236386474047,0.2178084417663424,3.581770322410068,4,3,325.067678080041,3795651.103833903,48.10982505948067,Balanced
