Date,Close
2023-01-02,17930.05
2023-01-03,17770.39
2023-01-04,17956.17
2023-01-05,17963.82
2023-01-06,18035.56
2023-01-09,18177.83
2023-01-10,18288.99
2023-01-11,18199.03
2023-01-12,18198.69
2023-01-13,18117.75
2023-01-16,18097.52
2023-01-17,18274.38
2023-01-18,18283.97
2023-01-19,18079.69
2023-01-20,18085.78
2023-01-23,17982.83
2023-01-24,18210.58
2023-01-25,18379.67
2023-01-26,18301.84
2023-01-27,18195.35
2023-01-30,18402.6
2023-01-31,18301.63
2023-02-01,18445.79
2023-02-02,18546.16
2023-02-03,18472.86
2023-02-06,18563.04
2023-02-07,18661.6
2023-02-08,18613.26
2023-02-09,18674.14
2023-02-10,18600.91
2023-02-13,18507.17
2023-02-14,18388.88
2023-02-15,18363.6
2023-02-16,18259.76
2023-02-17,18339.87
2023-02-20,18268.61
2023-02-21,18265.56
2023-02-22,18289.24
2023-02-23,18065.22
2023-02-24,18226.65
2023-02-27,18231.18
2023-02-28,18350.02
2023-03-01,18525.79
2023-03-02,18652.17
2023-03-03,18874.86
2023-03-06,18877.87
2023-03-07,19064.12
2023-03-08,18950.68
2023-03-09,18768.59
2023-03-10,18571.15
2023-03-13,18837.95
2023-03-14,18771.12
2023-03-15,19005.58
2023-03-16,18945.08
2023-03-17,19089.7
2023-03-20,19116.2
2023-03-21,18951.42
2023-03-22,19219.88
2023-03-23,19292.01
2023-03-24,19363.54
2023-03-27,19148.42
2023-03-28,19164.37
2023-03-29,19137.0
2023-03-30,18834.63
2023-03-31,18701.5
2023-04-03,18685.19
2023-04-04,18487.77
2023-04-05,18216.31
2023-04-06,17968.93
2023-04-07,18089.55
2023-04-10,17995.87
2023-04-11,17983.11
2023-04-12,18128.05
2023-04-13,17989.96
2023-04-14,17833.35
2023-04-17,17951.55
2023-04-18,17794.63
2023-04-19,17654.42
2023-04-20,17674.85
2023-04-21,17636.74
2023-04-24,17620.89
2023-04-25,17584.79
2023-04-26,17642.96
2023-04-27,17785.5
2023-04-28,17763.15
2023-05-01,17628.08
2023-05-02,17544.02
2023-05-03,17578.22
2023-05-04,17772.04
2023-05-05,17911.34
2023-05-08,17899.84
2023-05-09,17857.3
2023-05-10,17910.87
2023-05-11,18193.28
2023-05-12,18022.19
2023-05-15,18136.22
2023-05-16,18030.54
2023-05-17,17916.16
2023-05-18,17979.82
2023-05-19,18203.38
2023-05-22,18096.36
2023-05-23,18113.29
2023-05-24,18083.26
2023-05-25,18140.87
2023-05-26,18128.65
2023-05-29,18309.31
2023-05-30,18243.76
